2123456789, John Doe, 123-456-7800, johndoe@gmail.com, 123, 1979-04-17, Admin
2345678901, Jane Smith, 123-456-7801, janesmith@gmail.com, 123, 1977-05-20, Admin
3123456789, Alice Johnson, 123-456-7802, alicejohnson@gamil.com, 123, 1986-02-24, Renter
3234567890, Robert Brown, 123-456-7803, robertbrown@gamil.com, 123, 2004-03-22, Renter
3345678901, Emily Davis, 123-456-7804, emilydavis@gmail.com, 123, 1974-11-06, Renter
3456789012, Michael Wilson, 123-456-7805, michaelwilson@gmail.com, 123, 2004-07-10, Renter
1123456789, Mary Clark, 123-456-7806, maryclark@gmail.com, 123, 2003-06-22, Car Owner
1234567890, David Lewis, 123-456-7807, davidlewis@gmail.com, 123, 1994-08-23, Car Owner
1356789012, Sarah Walker, 123-456-7808, sarahwalker@gmail.com, 123, 1987-08-19, Car Owner
1456789013, James Young, 123-456-7809, jamesyoung@gmail.com, 123, 2004-10-27, Car Owner
